conscious-Ness 98,Self 76,Environmentally 76,Freud 70,Instinctive 6
pest-Insecticide 100,Mite 80,Arthropod 80,Insect 76,Citrus 7
pinch-Forefinger 100,Nipple 85,Thumb 83,Nose 73,Nostril 7
skip-Curling 100,Rink 84,Bail 62,Rope 57,Beat 5
knock-Unconscious 100,Senseless 81,Door 80,Down 78,Down 7
punish-Offender 100,Punitive 92,Severely 92,Disobedience 92,Wickedness 8
complex-Ligand 100,Subunit 93,Anion 81,Mitochondrial 78,Polymerase 7
pickle-Cucumber 100,Vinegar 94,Onion 80,Meat 54,Hartley 3
tiny-Speck 100,Droplet 73,Firefly 62,Flicker 61,Spark 6
unbiased-Variance 100,Biased 98,Impartial 90,Median 78,Estimation 7
chase-Pur 100,Pursuer 65,Privateer 60,Chasing 59,Hound 5
pointless-Osman 100,Topology 96,Stupid 96,Meaningless 90,Chatter 8
tiresome-Monotonous 100,Tedious 96,Repetition 76,Disagreeable 68,Uniformity 6
peaceful-Warlike 100,Demonstrator 100,Protester 96,Reunification 89,Prosperous 8
curl-Lip 100,Hair 99,Blond 99,Forehead 91,Moustache 8
acoustic-Electric 100,Mandolin 96,Banjo 84,Guitar 82,Harmonica 8
stuff-Pocket 100,Bag 92,Pouch 88,Scoop 84,Greasy 8
true-Valour 100,False 88,Believer 83,Faithful 66,Is 6
wise-Prudent 100,Worldly 90,Witty 88,Virtuous 87,Foolish 8
scarf-Yellow 100,Knotted 72,Shawl 69,Silken 69,Silk 6
matter-Anymore 100,Irrelevant 93,Ponder 65,Condensed 64,Ignorant 6
feigned-Indifference 100,Insanity 95,Reluctance 91,Astonishment 90,Indignation 8
slave-Abolitionist 99,Free 94,Plantation 94,Bondage 93,Galley 8
greedy-Randomized 100,Algorithm 78,Adaptive 74,Coloring 72,Selfish 7
suspend-Indefinitely 100,Disbelief 73,Pend 71,Writ 66,Corpus 6
walk-Briskly 100,Gait 96,Batter 93,Barefoot 91,Crutch 8
petite-Une 100,Mort 86,Petit 80,Maison 79,Grande 7
scorch-Flame 100,Fiery 100,Burn 82,Heat 81,Sun 7
hungry-Thirsty 100,Tired 55,Fee 55,Feed 54,Starving 5
flame-Kindle 100,Calgary 100,Flicker 98,Torch 96,Flare 9
clever-Witty 100,Ruse 86,Wonderfully 77,Shrewd 68,Amusing 6
shame-Humiliation 100,Guilt 88,Humiliate 87,Blush 86,Disgrace 8
repeat-Mantra 100,Feat 99,Repetition 86,Feat 78,Phrase 7
war-Napoleonic 100,Wage 92,Crimean 82,Neutrality 73,Civil 7
naughty-Marietta 100,Mischievous 70,Nice 60,Sexy 50,Wicked 4
tremendous-Upheaval 100,Precipice 93,Uproar 91,Roar 90,Explosion 8
stereotyped-Repetitive 100,Stereotype 89,Negatively 75,Autism 75,Pervasive 7
wrestle-Wrestling 100,Tag 91,Heavyweight 88,Flair 82,Team 7
ruin-Extravagance 100,Disgrace 91,Reputation 78,Tradesman 69,Destroyed 5
offer-Baccalaureate 100,Undergraduate 81,Postgraduate 80,Diploma 75,Discount 7
creature-Mythical 100,Humanoid 95,Sentient 91,Undead 90,Mythological 7
spectacular-Firework 100,Sensational 73,Volley 69,Snowy 66,Macy 6
nation-Industrialize 100,Cree 84,Cherokee 84,Navajo 81,Gymnast 7
opposite-Sex 100,Equal 77,Polar 76,Clockwise 75,Direction 7
label-Fluorescent 100,Fda 91,Packaging 83,Fluorescence 76,Vertex 6
dangerous-Potentially 100,Driving 86,Precedent 68,Unpredictable 68,Inherently 6
handy-Dandy 100,Manny 62,Beale 42,Blues 40,Para 4
material-Raw 100,Dielectric 89,Recycle 87,Archival 85,Porous 8
optimal-Optimization 100,Duality 96,Stochastic 93,Quadratic 90,Algorithm 7
copy-Copied 86,Scribe 83,Manuscript 74,Handwriting 70,Forward 7
saw-Lumber 100,Shotgun 85,Toothed 84,Shotgun 69,Mill 6
recognise-Bravery 100,Battlefield 86,Subspecies 66,Internationally 65,Kennel 6
tedious-Consuming 100,Repetitive 87,Boring 80,Monotonous 77,Enumerate 7
class-Locomotive 100,Corvette 100,Frigate 87,Sloop 80,Noun 7
organic-Pollutant 77,Solvent 76,Volatile 74,Aqueous 71,Solubility 7
tip-Catheter 100,Blunt 98,Tentacle 97,Inflorescence 95,Tail 8
milk-Cow 100,Dairy 94,Goat 84,Butter 82,Cheese 8
disillusioned-Disappointment 100,Bitterness 89,Cold 88,Adultery 83,Spirituality 6
desire-Gratify 100,Earnestly 93,Gratification 89,Craving 86,Humbly 7
faulty-Reasoning 100,Defective 83,Weld 76,Ignition 75,Heater 7
disgusting-Filthy 100,Bloody 98,Filth 94,Obscene 89,Vile 7
produce-Newscast 100,Fermentation 98,Torque 96,Toxin 96,Spore 9
cactus-Pear 100,Guadalcanal 68,Scrub 67,Hedgehog 67,Arid 5
run-Aground 100,Reelection 69,Concurrently 58,Touchdown 56,Syndication 5
hang-Gallows 100,Peg 91,Rafter 86,Upside 80,Tapestry 7
caring-Hospice 100,Caregiver 96,Sick 83,Orphaned 83,Foster 8
toes-Tip 100,Heel 91,Boots 85,Finger 78,Toe 7
prepare-Meal 100,Olympiad 81,Apprenticeship 74,Contingency 73,Upcoming 7
force-Retreat 100,Counterattack 99,Surrender 97,Besiege 95,Evacuation 9
stupendous-Precipice 100,Magnificence 88,Grandeur 83,Colossal 83,Vast 8
travel-Overland 100,Extensively 83,Passport 82,Stagecoach 81,Abroad 8
sisters-Younger 100,Sibling 97,Twin 96,Widowed 93,Abbess 8
tranquil-Serene 100,Calm 92,Repose 85,Placid 75,Soothing 7
snatch-Jerk 100,Weightlifting 87,Clean 85,Away 76,Hasty 7
preserve-Posterity 100,Integrity 91,Fossil 90,Pickle 84,Preservation 8
peace-Nobel 100,Disarmament 97,Tranquillity 87,Treaty 86,Westphalia 8
talk-Nonsense 100,Nonsense 67,Overhear 66,Awhile 65,Listen 6
hypnotic-Insomnia 100,Amnesia 89,Susceptibility 79,Regression 74,Opioid 7
abaft-Mast 100,Forward 63,Funnel 52,Starboard 49,Superstructure 4
thought-Console 100,Suicidal 91,Comforting 77,Hegel 76,Thinker 7
rude-Awakening 100,Awakening 87,Mechanical 69,Ska 67,Naughty 5
aftermath-Katrina 100,Tsunami 75,Immediate 73,Hurricane 59,Earthquake 5
descriptive-Normative 100,Explanatory 84,Metadata 73,Predictive 71,Linguistic 6
answer-Question 100,Summons 85,Correctly 76,Query 75,Riddle 7
grain-Cereal 100,Legume 89,Cereal 85,Barley 83,Wheat 7
destroy-Detonate 100,Warhead 88,Annihilate 78,Utterly 75,Explosive 7
spare-Beseech 100,Expense 95,Implore 91,Mercy 88,Osman 8
tour-Headline 100,Warped 96,Extensively 67,Gig 62,Concert 6
skate-Rink 100,Skating 98,Puck 90,Roller 90,Inline 8
letters-Alphabet 100,Lettre 92,Correspondence 78,Write 74,Diary 6
pedal-Bicycle 100,Brake 95,Bike 88,Brake 86,Accelerator 7
immense-Booty 100,Concourse 94,Expanse 82,Popularity 77,Quantity 7
boat-Flotilla 100,Torpedo 89,Submerged 80,Fishing 76,Submarine 7
shake-Head 100,Rattle 93,Violently 91,Sadly 77,Vigorously 7
weather-Storm 100,Forecast 95,Tack 95,Typhoon 91,Stormy 8
jeans-Baptiste 100,Rousseau 52,Fran\u00e7ois 49,Yves 48,Christophe 4
sincere-Repentance 100,Flattery 85,Apology 70,Esteem 69,Piety 6
paste-Cut 100,Cut 88,Bake 64,Garlic 61,Shrimp 6
suck-Nipple 100,Vortex 83,Vacuum 83,Cock 82,Breath 8
embarrass-Humiliate 100,Harass 83,Shameful 71,Confound 62,Marge 5
dog-Trot 100,Prairie 100,Cat 95,Breed 86,Heel 8
monkey-Spider 100,Toothed 96,Mammal 94,Swamp 82,Lizard 7
haircut-Shave 100,Barber 71,Shave 67,Mohawk 64,Sport 6
crowd-Throng 100,Spectator 85,Sidewalk 83,Multitude 78,Shouting 7
dad-Mom 100,Rudd 50,Sitcom 46,Castor 41,Regatta 3
regular-Polygon 100,Militia 87,Postseason 86,Math 80,Playoff 7
ugliest-Big 100,Betty 58,Deformed 48,Hag 41,Stupid 4
womanly-Manly 100,Eternal 88,Tenderness 84,Gentleness 80,Gentle 7
finger-Absently 100,Hilt 98,Nervously 96,Idly 95,Delicately 8
abrasive-Grinding 100,Grit 95,Bonded 89,Hardness 89,Emery 8
solid-Liquid 100,Gaseous 94,Crystalline 89,Liquid 84,Sludge 8
nebulous-Nebula 100,Milky 97,Haze 81,Comet 80,Condensation 8
tenuous-Wisp 100,Atmosphere 87,Grip 84,Connection 79,Fragile 7
brake-Abs 100,Steering 99,Pedal 98,Traction 97,Hydraulic 9
white-Racial 100,Sock 98,Black 93,Hispanic 93,Yellowish 8
start-Increment 100,Strikeout 90,Shutout 86,Trail 74,Tackle 7
pump-Hose 81,Nozzle 81,Diode 80,Compressor 80,Tubing 7
rural-Romanize 100,Kerman 70,Fars 70,Iran 57,Oblast 4
pass-Touchdown 100,Peyton 85,Exam 79,Bree 77,Interception 7
balance-Rudder 100,Budget 98,Harmonious 92,Equilibrium 91,Budget 9
encourage-Incentive 100,Discourage 86,Foster 83,Creativity 76,Actively 7
claim-Waiver 100,Falsely 88,Refute 88,Dispute 85,Infringement 8
